"CASE";"gender";"insta";"edu";"age";"plz";"REF";"grp";"l1_regio";"l1_fairbez";"l1_umweltziel";"l1_divinkl";"l1_recycling";"l1_vegan";"l1_transpa";"l1_qual";"l1_kauf";"l2_regio";"l2_fairbez";"l2_umweltziel";"l2_divinkl";"l2_recycling";"l2_vegan";"l2_transpa";"l2_qual";"l2_kauf";"l_regio";"l_fairbez";"l_umweltziel";"l_divinkl";"l_recycling";"l_vegan";"l_transpa";"l_qual";"l_kauf";"grund_regio";"grund_fairbez";"grund_umweltziel";"grund_divinkl";"grund_recycling";"grund_vegan";"grund_preilei";"grund_transpa";"grund_qual"
"1728";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"26";"a2";"Blau";"1";"1";"1";"1";"1";"1";"1";"4";"4";"2";"2";"2";"3";"2";"2";"2";"4";"2";"1,5";"1,5";"1,5";"2,0";"1,5";"1,5";"1";"4,0";"3,0";"1";"1";"1";"1";"1";"2";"2";"1";"2"
"1723";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"14";"a4";"Blau";"4";"4";"3";"2";"3";"2";"3";"4";"5";"3";"4";"4";"5";"5";"4";"5";"3";"5";"3,5";"4,0";"3,5";"3,5";"4,0";"3,0";"3";"3,5";"5,0";"1";"1";"1";"1";"1";"1";"2";"1";"2"
"1740";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"10";"a4";"Grün";"4";"2";"4";"2";"4";"5";"2";"4";"3";"4";"3";"3";"4";"4";"4";"2";"5";"2";"4,0";"2,5";"3,5";"3,0";"4,0";"4,5";"2";"4,5";"2,5";"1";"1";"2";"1";"1";"1";"2";"1";"2"
"1745";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";"a1";"Blau";"3";"3";"4";"3";"4";"3";"4";"4";"3";"3";"2";"2";"2";"3";"3";"4";"4";"3";"3,0";"2,5";"3,0";"2,5";"3,5";"3,0";"4";"4,0";"3,0";"2";"1";"2";"1";"1";"1";"2";"1";"1"
"1760";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"10";"a2";"Grün";"4";"4";"4";"3";"3";"3";"3";"5";"2";"3";"2";"2";"2";"2";"2";"2";"2";"5";"3,5";"3,0";"3,0";"2,5";"2,5";"2,5";"3";"3,5";"3,5";"1";"1";"1";"1";"2";"1";"2";"1";"2"
"1772";"weiblich";"Ja";"Abitur, Hochschulreife";"24";"13";"a4";"Grün";"3";"3";"3";"3";"3";"3";"3";"3";"3";"2";"2";"2";"2";"3";"3";"2";"3";"5";"2,5";"2,5";"2,5";"2,5";"3,0";"3,0";"3";"3,0";"4,0";"1";"1";"1";"1";"1";"1";"2";"1";"1"
"1764";"weiblich";"Ja";"Schule beendet ohne Abschluss";"28";"95";"a2";"Blau";"3";"3";"3";"3";"3";"3";"3";"3";"5";"3";"3";"3";"3";"3";"3";"3";"3";"5";"3,0";"3,0";"3,0";"3,0";"3,0";"3,0";"3";"3,0";"5,0";"1";"1";"1";"2";"1";"1";"2";"1";"2"
"1780";"weiblich";"Ja";"Abitur, Hochschulreife";"24";"10";"a4";"Blau";"4";"3";"2";"2";"2";"2";"2";"4";"3";"4";"4";"4";"4";"4";"4";"3";"4";"2";"4,0";"3,5";"3,0";"3,0";"3,0";"3,0";"2";"4,0";"2,5";"1";"1";"1";"1";"1";"1";"2";"1";"2"
"1787";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";"a4";"Grün";"4";"3";"4";"4";"3";"5";"4";"2";"5";"2";"2";"3";"2";"3";"4";"2";"3";"2";"3,0";"2,5";"3,5";"3,0";"3,0";"4,5";"4";"2,5";"3,5";"2";"1";"1";"1";"1";"1";"2";"1";"2"
"1791";"divers";"Ja";"Abitur, Hochschulreife";"21";"14";"a2";"Grün";"5";"4";"5";"4";"5";"4";"4";"4";"5";"4";"2";"4";"4";"4";"4";"4";"4";"5";"4,5";"3,0";"4,5";"4,0";"4,5";"4,0";"4";"4,0";"5,0";"1";"2";"1";"1";"1";"1";"2";"1";"2"
"1804";NA;NA;NA;NA;NA;"a2";"Blau";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0";"0,0";"0,0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"1793";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";"a2";"Grün";"2";"2";"2";"2";"2";"4";"3";"3";"5";"2";"2";"4";"2";"2";"3";"2";"2";"5";"2,0";"2,0";"3,0";"2,0";"2,0";"3,5";"3";"2,5";"5,0";"1";"1";"1";"1";"1";"1";"2";"1";"1"
"1813";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"12";"a2";"Blau";"3";"3";"3";"3";"4";"4";"4";"4";"5";"2";"2";"2";"2";"2";"2";"2";"2";"5";"2,5";"2,5";"2,5";"2,5";"3,0";"3,0";"4";"3,0";"5,0";"1";"1";"1";"1";"1";"1";"2";"2";"2"
"1785";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"10";"a2";"Blau";"3";"4";"3";"4";"2";"2";"4";"4";"2";"3";"3";"2";"3";"2";"2";"3";"3";"2";"3,0";"3,5";"2,5";"3,5";"2,0";"2,0";"4";"3,5";"2,0";"1";"2";"1";"1";"1";"1";"2";"2";"1"
"1827";"weiblich";"Ja";"Abitur, Hochschulreife";"52";"65";"a2";"Grün";"3";"4";"3";"3";"3";"3";"3";"3";"3";"3";"3";"4";"3";"4";"4";"3";"3";"5";"3,0";"3,5";"3,5";"3,0";"3,5";"3,5";"3";"3,0";"4,0";"1";"1";"1";"1";"1";"1";"2";"1";"2"
"1836";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"24";"30";"a4";"Blau";"2";"3";"2";"4";"2";"2";"2";"4";"3";"3";"4";"3";"4";"4";"2";"4";"4";"2";"2,5";"3,5";"2,5";"4,0";"3,0";"2,0";"2";"4,0";"2,5";"1";"2";"1";"1";"1";"1";"2";"1";"2"
"1838";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"15";"a5";"Grün";"3";"3";"3";"3";"3";"3";"3";"4";"5";"4";"3";"4";"3";"4";"4";"3";"3";"5";"3,5";"3,0";"3,5";"3,0";"3,5";"3,5";"3";"3,5";"5,0";"1";"1";"1";"1";"2";"1";"2";"1";"2"
"1848";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"24";"31";"a4";"Grün";"4";"4";"3";"2";"3";"2";"3";"4";"5";"4";"4";"2";"3";"4";"3";"3";"3";"2";"4,0";"4,0";"2,5";"2,5";"3,5";"2,5";"3";"3,5";"3,5";"1";"1";"1";"1";"2";"1";"2";"1";"2"
"1854";NA;"Ja";"Abitur, Hochschulreife";"18";"10";"a2";"Blau";"4";"1";"1";"2";"2";"3";"2";"4";"5";"1";"1";"1";"1";"1";"1";"1";"4";"5";"2,5";"1,0";"1,0";"1,5";"1,5";"2,0";"2";"4,0";"5,0";"1";"2";"1";"2";"1";"2";"1";"1";"1"
"1860";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";"a2";"Grün";"4";"4";"4";"1";"2";"1";"4";"5";"2";"1";"3";"4";"4";"4";"4";"2";"2";"2";"2,5";"3,5";"4,0";"2,5";"3,0";"2,5";"4";"3,5";"2,0";"1";"2";"1";"1";"1";"1";"2";"1";"2"
"1866";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"26";"63";"a4";"Blau";"2";"1";"2";"3";"2";"4";"3";"1";"5";"1";"1";"1";"1";"1";"1";"1";"1";"4";"1,5";"1,0";"1,5";"2,0";"1,5";"2,5";"3";"1,0";"4,5";"2";"2";"2";"1";"1";"1";"1";"1";"1"
"1883";"männlich";"Ja";"Abitur, Hochschulreife";"21";"12";"a2";"Grün";"1";"2";"2";"2";"2";"2";"2";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"2";"2,5";"3,0";"3,0";"3,0";"3,0";"3,0";"2";"4,0";"3,0";"1";"1";"1";"1";"1";"1";"2";"1";"2"
"1878";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"40";"a5";"Blau";"4";"4";"3";"3";"4";"3";"2";"3";"4";"3";"3";"3";"3";"3";"3";"3";"3";"4";"3,5";"3,5";"3,0";"3,0";"3,5";"3,0";"2";"3,0";"4,0";"1";"1";"1";"1";"2";"2";"1";"2";"1"
"1890";"männlich";"Ja";"Abitur, Hochschulreife";"25";"10";"a5";"Blau";"2";"2";"2";"2";"2";"2";"2";"4";"3";"2";"2";"2";"2";"2";"2";"2";"3";"5";"2,0";"2,0";"2,0";"2,0";"2,0";"2,0";"2";"3,5";"4,0";"1";"2";"2";"1";"1";"1";"2";"1";"1"
"1896";NA;NA;NA;NA;NA;"a4";"Grün";"3";"2";"2";"1";"1";"1";"1";"4";"4";"2";"1";"4";"4";"4";"4";"2";"2";"3";"2,5";"1,5";"3,0";"2,5";"2,5";"2,5";"1";"3,0";"3,5";"1";"2";"1";"1";"1";"1";"2";"1";"2"
"1906";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"13";"a1";"Grün";"3";"3";"4";"3";"4";"4";"4";"5";"2";"4";"3";"4";"3";"4";"4";"3";"4";"5";"3,5";"3,0";"4,0";"3,0";"4,0";"4,0";"4";"4,5";"3,5";"1";"2";"1";"1";"1";"1";"2";"1";"2"
"1914";NA;NA;NA;NA;NA;"a4";"Blau";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0";"0,0";"0,0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"1917";NA;NA;NA;NA;NA;"a4";"Blau";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0";"0,0";"0,0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"1928";"weiblich";"Ja";"Abitur, Hochschulreife";"23";"31";"a4";"Grün";"4";"3";"2";"2";"4";"2";"2";"4";"3";"4";"4";"4";"4";"4";"4";"4";"4";"2";"4,0";"3,5";"3,0";"3,0";"4,0";"3,0";"2";"4,0";"2,5";"2";"1";"1";"1";"2";"1";"1";"1";"2"
"1925";"divers";"Ja";"Abgeschlossene Lehre/Ausbildung";"25";"50";"a4";"Grün";"3";"3";"3";"3";"3";"3";"3";"3";"3";"4";"4";"3";"3";"3";"4";"3";"3";"2";"3,5";"3,5";"3,0";"3,0";"3,0";"3,5";"3";"3,0";"2,5";"1";"2";"1";"1";"1";"1";"2";"1";"2"
"1938";"divers";"Ja";"Abitur, Hochschulreife";"25";"12";"a5";"Blau";"4";"4";"4";"4";"2";"2";"4";"4";"3";"2";"2";"4";"2";"2";"4";"2";"4";"3";"3,0";"3,0";"4,0";"3,0";"2,0";"3,0";"4";"4,0";"3,0";"2";"2";"1";"1";"1";"1";"2";"1";"1"
"1947";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";"a1";"Grün";"1";"1";"1";"1";"1";"1";"1";"2";"3";"2";"2";"3";"2";"2";"2";"2";"3";"5";"1,5";"1,5";"2,0";"1,5";"1,5";"1,5";"1";"2,5";"4,0";"1";"2";"1";"2";"1";"1";"2";"1";"1"
"1949";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"20";"15";"a5";"Blau";"1";"1";"1";"1";"2";"1";"1";"2";"3";"1";"2";"2";"2";"2";"1";"1";"2";"5";"1,0";"1,5";"1,5";"1,5";"2,0";"1,0";"1";"2,0";"4,0";"1";"2";"1";"1";"1";"1";"2";"1";"2"
"1959";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"13";"a5";"Grün";"3";"3";"3";"3";"3";"4";"3";"3";"5";"3";"3";"4";"3";"4";"3";"3";"3";"5";"3,0";"3,0";"3,5";"3,0";"3,5";"3,5";"3";"3,0";"5,0";"1";"1";"2";"1";"2";"1";"2";"1";"1"
"1966";"männlich";"Ja";"Abgeschlossene Lehre/Ausbildung";"24";"10";"a4";"Blau";"3";"3";"3";"3";"3";"3";"3";"4";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3,0";"3,0";"3,0";"3,0";"3,0";"3,0";"3";"3,5";"3,0";"1";"2";"2";"1";"1";"1";"1";"1";"2"
"1970";"männlich";"Ja";"Abitur, Hochschulreife";"20";"10";"a1";"Blau";"4";"3";"2";"2";"2";"2";"2";"4";"3";"3";"2";"2";"3";"3";"2";"2";"4";"3";"3,5";"2,5";"2,0";"2,5";"2,5";"2,0";"2";"4,0";"3,0";"1";"1";"1";"2";"1";"1";"2";"1";"2"
"1981";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"20";"14";"a1";"Grün";"4";"3";"4";"3";"4";"3";"3";"3";"5";"4";"3";"4";"3";"4";"4";"3";"3";"2";"4,0";"3,0";"4,0";"3,0";"4,0";"3,5";"3";"3,0";"3,5";"1";"1";"1";"1";"2";"1";"2";"1";"2"
"1980";"männlich";"Ja";"Abitur, Hochschulreife";"21";"13";"a2";"Blau";"1";"1";"1";"1";"1";"1";"1";"1";"4";"1";"1";"1";"1";"1";"1";"1";"1";"4";"1,0";"1,0";"1,0";"1,0";"1,0";"1,0";"1";"1,0";"4,0";"1";"1";"1";"1";"1";"1";"2";"1";"2"
"1999";"männlich";"Ja";"Abitur, Hochschulreife";"24";"13";"a4";"Grün";"3";"3";"2";"2";"2";"2";"2";"3";"5";"3";"4";"4";"2";"3";"4";"2";"3";"5";"3,0";"3,5";"3,0";"2,0";"2,5";"3,0";"2";"3,0";"5,0";"1";"1";"1";"2";"1";"1";"2";"1";"2"
"2000";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"10";"a2";"Blau";"1";"1";"1";"1";"1";"4";"1";"1";"3";"1";"1";"1";"1";"1";"1";"1";"1";"3";"1,0";"1,0";"1,0";"1,0";"1,0";"2,5";"1";"1,0";"3,0";"1";"2";"1";"1";"1";"1";"2";"1";"2"
"2011";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"12";"a2";"Grün";"3";"2";"3";"3";"4";"4";"3";"4";"3";"2";"3";"4";"4";"4";"4";"2";"4";"5";"2,5";"2,5";"3,5";"3,5";"4,0";"4,0";"3";"4,0";"4,0";"1";"1";"1";"2";"1";"1";"2";"1";"2"
"2013";"männlich";"Nein";"Abitur, Hochschulreife";"21";"57";"a5";"Blau";"1";"1";"1";"1";"1";"1";"1";"4";"4";"1";"1";"1";"1";"1";"1";"1";"1";"4";"1,0";"1,0";"1,0";"1,0";"1,0";"1,0";"1";"2,5";"4,0";"1";"2";"2";"1";"1";"1";"1";"1";"2"
"2020";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"14";"a2";"Grün";"4";"4";"4";"4";"4";"4";"4";"4";"5";"3";"3";"4";"4";"4";"4";"4";"4";"5";"3,5";"3,5";"4,0";"4,0";"4,0";"4,0";"4";"4,0";"5,0";"1";"1";"1";"2";"1";"1";"2";"1";"2"
"2030";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"12";"a3";"Grün";"3";"4";"4";"2";"2";"3";"5";"3";"3";"2";"4";"3";"5";"5";"5";"5";"4";"5";"2,5";"4,0";"3,5";"3,5";"3,5";"4,0";"5";"3,5";"4,0";"1";"1";"1";"1";"1";"1";"2";"2";"2"
"2044";"weiblich";"Ja";"Anderer Abschluss, und zwar:";"19";"12";"a4";"Blau";"5";"3";"4";"3";"3";"2";"2";"5";"2";"1";"2";"2";"2";"2";"2";"1";"3";"3";"3,0";"2,5";"3,0";"2,5";"2,5";"2,0";"2";"4,0";"2,5";"1";"2";"1";"1";"1";"1";"2";"1";"2"
"2042";"männlich";"Nein";"Abgeschlossene Lehre/Ausbildung";"22";"10";"a4";"Blau";"3";"2";"1";"3";"2";"2";"2";"5";"2";"2";"2";"2";"2";"2";"2";"2";"1";"4";"2,5";"2,0";"1,5";"2,5";"2,0";"2,0";"2";"3,0";"3,0";"1";"1";"1";"1";"1";"1";"1";"1";"2"
"2057";NA;NA;NA;NA;NA;"a4";"Grün";"4";"2";"4";"3";"4";"2";"3";"4";"3";"2";"2";"3";"2";"4";"2";"2";"4";"2";"3,0";"2,0";"3,5";"2,5";"4,0";"2,0";"3";"4,0";"2,5";"1";"1";"1";"2";"1";"2";"1";"1";"1"
"2061";NA;NA;NA;NA;NA;"a2";"Grün";"3";"3";"3";"3";"3";"3";"3";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,5";"1,5";"1,5";"1,5";"1,5";"1,5";"3";"1,0";"2,0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"2067";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"28";"10";"a5";"Blau";"1";"1";"1";"1";"1";"1";"1";"1";"3";"1";"1";"1";"1";"1";"1";"1";"1";"5";"1,0";"1,0";"1,0";"1,0";"1,0";"1,0";"1";"1,0";"4,0";"1";"2";"1";"1";"1";"1";"2";"1";"2"
"2074";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"24";NA;"a4";"Blau";"3";"3";"3";"3";"3";"3";"3";"3";"1";"3";"4";"4";"2";"4";"2";"3";"4";"2";"3,0";"3,5";"3,5";"2,5";"3,5";"2,5";"3";"3,5";"1,5";"2";"2";"2";"1";"1";"1";"1";"1";"1"
"2080";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"21";"13";"a2";"Grün";"3";"3";"3";"4";"3";"3";"3";"3";"5";"3";"3";"3";"2";"3";"2";"3";"3";"3";"3,0";"3,0";"3,0";"3,0";"3,0";"2,5";"3";"3,0";"4,0";"1";"2";"1";"2";"1";"1";"2";"1";"1"
"2088";"männlich";"Ja";"Abitur, Hochschulreife";"25";"10";"a2";"Grün";"2";"2";"4";"1";"4";"1";"4";"4";"5";"4";"4";"3";"4";"4";"4";"4";"4";"2";"3,0";"3,0";"3,5";"2,5";"4,0";"2,5";"4";"4,0";"3,5";"2";"1";"1";"1";"1";"1";"2";"1";"2"
"2094";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"21";"81";"a1";"Blau";"3";"3";"3";"3";"3";"3";"3";"3";"5";"3";"3";"3";"3";"3";"3";"3";"3";"5";"3,0";"3,0";"3,0";"3,0";"3,0";"3,0";"3";"3,0";"5,0";"2";"2";"1";"1";"1";"1";"2";"1";"1"
"2101";NA;NA;NA;NA;NA;"a2";"Grün";"4";"4";"4";"4";"4";"4";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2,0";"2,0";"2,0";"2,0";"2,0";"2,0";"4";"2,0";"0,0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"2106";"weiblich";"Ja";"Anderer Abschluss, und zwar:";"26";"13";"a5";"Blau";"2";"2";"2";"2";"2";"2";"2";"4";"3";"3";"3";"3";"4";"3";"3";"3";"3";"2";"2,5";"2,5";"2,5";"3,0";"2,5";"2,5";"2";"3,5";"2,5";"1";"2";"2";"1";"1";"2";"1";"1";"1"
"2112";"weiblich";"Ja";"Abitur, Hochschulreife";"27";"10";"a5";"Blau";"3";"3";"3";"3";"4";"4";"2";"4";"3";"2";"3";"3";"3";"3";"2";"2";"4";"2";"2,5";"3,0";"3,0";"3,0";"3,5";"3,0";"2";"4,0";"2,5";"1";"1";"1";"2";"1";"1";"2";"1";"2"
"2119";"männlich";"Ja";"Abitur, Hochschulreife";"20";"14";"a4";"Grün";"3";"3";"3";"3";"3";"4";"3";"4";"5";"2";"2";"4";"4";"3";"3";"2";"3";"5";"2,5";"2,5";"3,5";"3,5";"3,0";"3,5";"3";"3,5";"5,0";"1";"1";"1";"1";"1";"1";"2";"1";"2"
"2125";NA;NA;NA;NA;NA;"a2";"Blau";"3";"3";"3";"3";"3";"3";"3";"3";"2";"3";"3";"3";"3";"3";"3";"3";"3";"5";"3,0";"3,0";"3,0";"3,0";"3,0";"3,0";"3";"3,0";"3,5";"2";"1";"1";"1";"1";"1";"1";"1";"2"
"2130";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"12";"a2";"Grün";"3";"4";"3";"2";"4";"4";"2";"3";"5";"2";"3";"3";"4";"3";"2";"1";"4";"5";"2,5";"3,5";"3,0";"3,0";"3,5";"3,0";"2";"3,5";"5,0";"1";"2";"1";"1";"1";"1";"2";"1";"2"
"2136";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"34";"13";"a3";"Grün";"3";"3";"3";"3";"3";"4";"3";"3";"3";"3";"3";"4";"3";"3";"3";"3";"3";"3";"3,0";"3,0";"3,5";"3,0";"3,0";"3,5";"3";"3,0";"3,0";"1";"2";"1";"1";"1";"1";"2";"1";"2"
"2143";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"24";"15";"a5";"Blau";"4";"3";"3";"2";"2";"2";"3";"5";"2";"2";"2";"2";"2";"2";"2";"3";"4";"5";"3,0";"2,5";"2,5";"2,0";"2,0";"2,0";"3";"4,5";"3,5";"1";"1";"1";"1";"2";"1";"2";"1";"2"
"2156";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"36";"15";"a5";"Grün";"1";"2";"4";"2";"4";"4";"1";"4";"3";"2";"3";"4";"4";"4";"2";"2";"4";"5";"1,5";"2,5";"4,0";"3,0";"4,0";"3,0";"1";"4,0";"4,0";"1";"2";"1";"1";"1";"1";"2";"1";"2"
"2153";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"55";"a1";"Blau";"3";"3";"3";"3";"4";"3";"3";"3";"5";"2";"4";"3";"3";"4";"4";"4";"3";"5";"2,5";"3,5";"3,0";"3,0";"4,0";"3,5";"3";"3,0";"5,0";"1";"2";"1";"1";"1";"1";"2";"1";"2"
"2166";"weiblich";"Nein";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"37";"40";"a5";"Blau";"4";"4";"4";"4";"4";"3";"4";"4";"5";"3";"3";"3";"3";"3";"3";"3";"3";"5";"3,5";"3,5";"3,5";"3,5";"3,5";"3,0";"4";"3,5";"5,0";"1";"1";"1";"1";"1";"1";"2";"1";"1"
"2168";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"28";"10";"a5";"Grün";"2";"4";"4";"3";"4";"4";"4";"4";"5";"4";"4";"4";"4";"4";"5";"4";"5";"2";"3,0";"4,0";"4,0";"3,5";"4,0";"4,5";"4";"4,5";"3,5";"1";"1";"1";"1";"1";"1";"2";"1";"1"
"2175";"männlich";"Ja";"Abitur, Hochschulreife";"24";"10";"a2";"Blau";"4";"4";"4";"4";"4";"4";"4";"4";"5";"4";"4";"4";"4";"4";"4";"4";"4";"5";"4,0";"4,0";"4,0";"4,0";"4,0";"4,0";"4";"4,0";"5,0";"1";"1";"1";"2";"1";"1";"2";"1";"2"
"2184";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";"a2";"Grün";"4";"4";"5";"4";"4";"4";"4";"4";"3";"4";"4";"5";"5";"5";"5";"5";"5";"5";"4,0";"4,0";"5,0";"4,5";"4,5";"4,5";"4";"4,5";"4,0";"1";"2";"1";"1";"1";"1";"2";"1";"2"
"2191";NA;NA;NA;NA;NA;"a5";"Grün";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0";"0,0";"0,0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"2193";"männlich";"Ja";"Abitur, Hochschulreife";"20";"14";"a1";"Blau";"2";"2";"2";"2";"4";"3";"2";"2";"3";"2";"2";"2";"2";"2";"2";"2";"2";"3";"2,0";"2,0";"2,0";"2,0";"3,0";"2,5";"2";"2,0";"3,0";"1";"1";"1";"1";"1";"1";"2";"2";"2"
"2199";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"27";"30";"a5";"Grün";"4";"3";"4";"3";"4";"3";"3";"4";"5";"2";"2";"3";"4";"3";"2";"4";"3";"2";"3,0";"2,5";"3,5";"3,5";"3,5";"2,5";"3";"3,5";"3,5";"1";"1";"1";"1";"2";"1";"2";"1";"2"
