"text";"gold";"observed";"reason_sexist"
"My buddy and wife just stopped by to check on me and my kids, left me with tons of food and love. Best people ever, and young and Christian, and caucasian,";"not sexist";"not sexist";"The comment is not sexist. It does not express any negative sentiment towards women based on their gender."
"You are obviously illiterate and stupid if you think that's what was posted. You must be a #kike troll.";"not sexist";"not sexist";"The comment is offensive and derogatory but does not target women or express negative sentiment based on gender."
"Don't fred, you're a human, not a stonecold trp bot. You did the right thing and preserved your self respect and got out of a toxic relationship, even when it wasn't easy for you. Now, don't talk to her again and focus on yourself.";"not sexist";"not sexist";"The comment is not sexist. It does not express negative sentiment based on gender and is instead offering support and advice to someone who left a toxic"
"Has Huma been falling off any bridges recently or is she still holed up in a safe house?";"not sexist";"sexist";"The comment is sexist as it targets Huma Abedin, a woman, with a derogatory and demeaning insinuation, implying harm or"
"[USER]‍ & Anglin are on the same page. But yeah sorry, I mute gay retards like yourself so goodbye. Go back to making memes in moms basement";"not sexist";"not sexist";"The comment is offensive and derogatory, but it does not target women or express negative sentiment based on gender."
"She even said that he allegedly have her his blessing. Total fucking lie. She's trying to make it sound like Will was ok with it.";"not sexist";"not sexist";"The comment is critical of a specific woman's actions but does not express negative sentiment based on her gender."
"Yes, and men should not call women out for dress provocatively or else you're slut-shaming. And men should stop mansplaining on how to wear decent clothes. LMAO";"not sexist";"sexist";"The comment is sexist because it uses the term ""mansplaining"" in a derogatory manner, which expresses negative sentiment towards men based on"
"It’s 'open season' on vaccinating pregnant women with toxic, harmful substances confirmed present in many #vaccines [URL]";"not sexist";"not sexist";"The comment is critical of vaccinating pregnant women but does not express negative sentiment based on gender. It focuses on the perceived harm of vaccines rather"
"I've never seen anything like it. At first, i was puzzled. Then I realized that she is going to nudge him to the left. She is not qualified to advise the president on anything except maybe choice of ties.";"not sexist";"sexist";"The comment is sexist because it implies that the woman is not qualified to advise the president on anything serious, reducing her capabilities to something trivial like"
"Wow 😮 dude I’m sooo sorry tell ur mom I’m sorry I had no idea ur an actual retard 👌🙃my bad";"not sexist";"not sexist";"The comment is offensive and ableist, but it does not express negative sentiment based on gender."
"What the fuck? This is the epitome of fear mongering shit posts. What are you even talking about?";"not sexist";"not sexist";"The comment is expressing frustration and confusion but does not refer to women or express negative sentiment based on gender."
"You are a retard and I look forward to moving to the Balkans with my American money and fucking your sister.";"not sexist";"not sexist";"The comment is offensive and inappropriate, but it does not specifically target women or express negative sentiment based on gender."
"They call it rape but I bet most of those poor girls are under age,so that it should actually be charged as""child molesting""";"not sexist";"sexist";"The comment is sexist because it trivializes the severity of rape and implies that the victims' experiences are less significant based on their age, which"
"If on Twitter, you should RT this below. Trigger the libtards. [URL]";"not sexist";"not sexist";"The comment is derogatory towards a political group but does not specifically target women or express negative sentiment based on gender."
"somebody should set him up with my mom she likes to power trip on people who don't really have it coming and financially manipulate them";"not sexist";"not sexist";"The comment is not sexist. It does not express negative sentiment based on gender but rather describes an individual's behavior without reference to their gender."
"Yes you do because I said so, just like you said incels hate women";"not sexist";"not sexist";"The comment is not directed towards women or expressing negative sentiment based on gender. It appears to be a response to a previous statement about incels"
"YOUR BOY HITLER WAS A LOSER...""GOT HIS CLOCK CLEANED""...";"not sexist";"not sexist";"The comment is not directed towards women or based on gender."
"Honestly, I would have done a shit ton better defending Sanders than that idiot would have.";"not sexist";"not sexist";"The comment is critical of an individual's performance but does not express negative sentiment based on gender."
"Best to just be straight up with her. You don't have to tell her to fuck off or anything rude, just say something like ""Just so you know I'm in a place in my life where I don't want anything more than something casual.""";"not sexist";"not sexist";"The comment is advising on how to communicate honestly and respectfully with a woman about relationship intentions. It does not express negative sentiment based on gender."
"I'm a wife, grandmother of 3 beautiful girls, mom to 2 rescue cats, 49 chickens and 4 goats. I love America and stand behind President Trump.";"not sexist";"not sexist";"The comment is a personal statement about the individual's family, pets, and political views, without expressing negative sentiment based on gender."
"I bet he's fat and smelly and has a neckbeard but thinks because he's white he's gods gift to women";"not sexist";"not sexist";"The comment is derogatory but it targets a man and does not express negative sentiment against women based on their gender."
"So now all the hens can peck each other [URL]";"not sexist";"sexist";"The comment is sexist because it refers to women as ""hens,"" which is a derogatory term based on their gender, and implies negative behavior"
"[URL] thinking that jackass dorky lies even to it's wife.";"not sexist";"not sexist";"The comment is derogatory towards an individual (referred to as ""jackass dorky"") but does not express negative sentiment based on"
"These delusional idiots are entertaining";"not sexist";"not sexist";"The comment is derogatory but does not specifically target women or express negative sentiment based on gender."
"Exactly. What about the women who are pregnant? Women who don't have periods or spot all the time? Who's going to check if stacy is actually on her period?";"not sexist";"not sexist";"The comment is discussing practical concerns related to women and menstruation without expressing negative sentiment based on gender."
"Pls she makes me want to vomit, I do not want to see her face or give her any attention. no offense, DG.";"not sexist";"not sexist";"The comment is expressing a strong personal dislike towards an individual but does not indicate that this sentiment is based on the individual's gender."
"I see a lot of these posts and everyone over thinks it lol. All you need to do is chill and flirt with her for like 20-30 minutes at most and then just go in for a kiss. After that it's pretty straight forward lmao";"not sexist";"not sexist";"The comment is not sexist. It does not express negative sentiment towards women based on their gender. It discusses a strategy for flirting, which,"
"Maybe she is making a salad on a table that has one leg shorter than the other. OK maybe not.";"not sexist";"not sexist";"The comment is not sexist. It does not express negative sentiment based on gender."
"It is utterly over for ricecels. They can't even seem to date their own race. No other race (white, hispanic, Indian, black) has as much of a problem dating their own race.";"not sexist";"not sexist";"The comment is not directed towards women or based on gender, but rather discusses dating issues within a specific racial group."
"She cant because she is a reptilian.";"not sexist";"not sexist";"The comment is bizarre and nonsensical, but it does not express negative sentiment based on gender."
"Hahahahah hell yeah dude! And i forgot to mention that she paid for the drinks! Like what?!!!!";"not sexist";"not sexist";"The comment is not sexist. It does not express negative sentiment based on gender."
"what the fuck is this? you want to take down statues, take this down... pins in my eyes...they are pigs....WOW";"not sexist";"not sexist";"The comment is vague and does not clearly refer to women or express negative sentiment based on gender."
"So, so touching. And now we can let her off the hook for everything! She's gay! She can do anything she likes now, because she is one of the chosen people.";"not sexist";"sexist";"The comment is sarcastically implying that being gay grants women special privileges and excuses them from accountability, which is a prejudicial and negative sentiment based"
"yep what made her think she could enter a nest of niggers? this is how they are not victim blaming but the white guilt and black victim industries are getting whites killed";"not sexist";"sexist";"The comment is sexist because it refers to a woman and expresses negative sentiment based on her gender, combined with racist language and sentiments."
"Oh now you just planting ideas in my head...mmust purge...unclean... thoughts...Aaaaahhh! (Passed out) I was thinking WarMatron...like female warchief";"not sexist";"not sexist";"The comment does not express negative sentiment towards women based on their gender. It appears to be a humorous or playful remark about the idea of a"
"There are some that would disagree, to them she is a Goddess. She has no soul by our definitions. We will continue fighting and we will win. We will not be replaced.";"not sexist";"sexist";"The comment is sexist. It refers to a woman and expresses negative sentiment by dehumanizing her, implying she has no soul, and suggesting"
"Is he working on stuff too? Ask her where she goes to school, what she plans to study, etc. She'll ask you the same questions in return if she's interested.";"not sexist";"not sexist";"The comment is not sexist. It provides neutral advice on how to engage in a conversation and does not express any negative sentiment based on gender."
"Enigmatic introverts should be allowed to attract women, also. I don't know why everyone disagrees.";"not sexist";"not sexist";"The comment does not express negative sentiment towards women based on their gender. It discusses a perspective on social interactions without derogatory or prejudicial language"
"Surprised you could even spit game while on acid. If she knew it’s probably no big deal. Don’t mention it and do it better next time";"not sexist";"not sexist";"The comment does not express negative sentiment based on gender. It discusses a situation involving a woman but does not insult, threaten, or demonize"
"Finally i fixed my AK 47, today i'll go to shoot with her ♥";"not sexist";"not sexist";"The comment is about fixing and using an AK 47 and does not refer to women or express negative sentiment based on gender."
"TRUCE OR CONSEQUENCES... Muslim men. like killing other Muslim men... keeps the overpopulation down... and they get more women in their harems....";"not sexist";"sexist";"The comment is sexist because it implies that women are merely objects to be collected in harems and reduces their value to their gender, while also"
"“I actually hate dating tall guys, believe me. Its merely a coincidence that my boyfriend is 6—";"not sexist";"not sexist";"The comment is expressing a personal preference about dating tall guys and does not refer to women or express negative sentiment based on gender."
"eexcellent analysis Blonde!";"not sexist";"not sexist";"The comment is not sexist. It does not express negative sentiment based on gender."
"Schoolgirl, 15, has her jaw broken in three places during vicious brawl that spilled onto the road and saw students assault parents [URL] #AusFam #AusPol #ausfam #auspol #Ausfam #Auspol #Australia";"not sexist";"not sexist";"The comment is a factual report about an incident involving a schoolgirl and does not express negative sentiment based on gender."
"3D Anime girl. LOL";"not sexist";"not sexist";"The comment does not express negative sentiment towards women based on their gender. It appears to be a neutral or humorous remark about a 3D"
"PLOT TWIST: New report says alleged Harvey Weinstein victim Asia Argento paid off child actor who accused her of sexual assault [URL]";"not sexist";"not sexist";"The comment reports on a news story without expressing negative sentiment based on gender."
"Were western culture. We send men dressed as women to girl fights, haha.";"not sexist";"sexist";"The comment is sexist because it mocks and expresses negative sentiment towards transgender women by implying that they are just men dressed as women, which is derog"
"On point of racial bias, there is a long history of desexualization of Asian men in western culture, so that probably affects attraction biases.";"not sexist";"not sexist";"The comment is discussing racial bias and desexualization of Asian men in Western culture, and does not refer to women or express negative sentiment based"
"Did you guys notice how fuckin fat she is";"not sexist";"sexist";"The comment is sexist because it targets a woman and expresses negative sentiment based on her appearance, which is often tied to gender-based expectations and stereotypes"
"Good Morning Miss Gee! Amazing pic love the old car and the brown-eyed Susan’s (my daughters fav). Have a blessed Friday Sis!";"not sexist";"not sexist";"The comment is positive and does not express any negative sentiment based on gender."
"Did she even need a reason?";"not sexist";"not sexist";"The comment is ambiguous and does not express negative sentiment based on gender. It does not meet the criteria for being sexist."
"Not that I know of, but damn I wish she would be. He could almost have her as a nightly punching bag, and it would be a lot more entertaining than watching that cuck Hannity give the walking GRIDS patient Colmes a milquetoast drubbing.";"not sexist";"sexist";"The comment is sexist because it expresses a violent and derogatory sentiment towards a woman, suggesting she should be used as a ""nightly punching"
"Wives don't care either.";"not sexist";"sexist";"The comment is sexist because it generalizes and implies a negative sentiment about women in the role of wives, suggesting they are indifferent or uncaring"
"Yes, Lena specified that she's a pedophile lesbian. Sis had better keep an eye on her little girls.";"not sexist";"sexist";"The comment is sexist because it expresses a negative sentiment towards a woman by making a derogatory and prejudicial statement based on her gender and sexual"
"[USER] WOO FUCK YEAH #GabWedding! 💒 Can we make it #TheDeplorables theme prease?! [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [URL]";"not sexist";"not sexist";"The comment does not refer to women or express negative sentiment based on gender."
"If you want to really hurt the Nazi's all you have to do is steal the swastika. It has a power because of how you've become revolted by it. Remember how powerful the kid chasing you with a dog turd on a stick back in grade-school was?";"not sexist";"not sexist";"The comment does not refer to women or express negative sentiment based on gender."
"If you want to be like women, go squat in the woods and piss.";"not sexist";"sexist";"The comment is derogatory and insulting towards women, implying that their behavior is inferior or primitive."
"#GabFam Tonight's insomnia break is currently at 2 hours and counting. Dammit.";"not sexist";"not sexist";"The comment is not sexist. It does not refer to women or express negative sentiment based on gender."
"Even Nerdy girls want the chads";"not sexist";"sexist";"The comment is sexist because it stereotypes women based on their gender and implies that their preferences are superficial, which is derogatory."
"lol, [USER]‍ will get 'em Khazar Milkers";"not sexist";"sexist";"The comment is sexist because it uses a derogatory term that objectifies and sexualizes women based on their gender."
"as long as you give an explanation to your ratings you won't get banned. i love trolling girls there sometimes.";"not sexist";"sexist";"The comment expresses a negative sentiment towards women by stating a preference for trolling them, which is a form of harassment based on their gender."
"And let’s not forget about those damn false rape accusations";"not sexist";"sexist";"The comment is sexist because it implies that false rape accusations, which are often associated with women, are a significant problem, thereby casting doubt on"
"Is she now also claiming gang rape?";"not sexist";"sexist";"The comment is derogatory and dismissive towards a woman, implying disbelief or mockery about her potential claim of gang rape, which is a"
"Only way is if 10 times tougher than any male then. Her beauty is a deficit in this career. Just honest. It takes one bad ass mother to be a seal and she would have to had them all their asses to be included in that club.";"not sexist";"sexist";"The comment is sexist because it implies that a woman's beauty is a disadvantage in a career and suggests that she must be significantly tougher than men to"
"To get that clear, some stuff is required to have: DNA from Merkel and her ancestors and furthermore based on that an infographic should be created, so a family tree will be visible.";"not sexist";"not sexist";"The comment is not sexist. It does not refer to women or express negative sentiment based on gender."
"#FakeNews is upset that they aren't coming down hard enough on Trump. Maybe if they took time out from sexually harassing women they might be able to spend more time slandering Trump. [URL] #MAGA #LiberalLogic";"not sexist";"not sexist";"The comment criticizes the media and mentions sexual harassment, but it does not express negative sentiment towards women based on their gender."
"This is Child Abuse - nothing less. This woman needs to be locked up before she destroys an innocent Human life... #LiberalismIsAMentalDisorder";"not sexist";"not sexist";"The comment is critical of a specific woman and her actions, but it does not express negative sentiment based on her gender. The criticism is directed"
"Maybe, but it's just not who I am. Can't pretend to be someone else to be with a woman. I actually never got dared really. Never got to play truth or dare with the cool kids haha.";"not sexist";"not sexist";"The comment is not sexist. It does not express any negative sentiment towards women based on their gender."
"I'm kind of into fragrances so I'd love to know who she is if you're okay with that!";"not sexist";"not sexist";"The comment is not sexist. It expresses interest in fragrances and a desire to know more about a person without any negative sentiment based on gender."
"I think there is a trues in that. You also have more motivation to like yourself than incels have to stop hating women.";"not sexist";"sexist";"The comment expresses a negative sentiment towards women by suggesting that incels have a strong motivation to hate women, which is a derogatory and prejud"
"It's not! Sexism in society isn't ""men's"" fault, it's not women's fault, it's no one's fault, thinking that way just leads to hate. Sexism is just a problem we need to fix, together.";"not sexist";"not sexist";"The comment is not sexist. It discusses sexism as a societal issue that needs to be addressed collectively without blaming any specific gender."
"Gorgeous girl";"not sexist";"not sexist";"The comment is a compliment and does not express negative sentiment based on gender."
"All this Shit is sicken to me, history being erased. All this PC Crap is bullshit!";"not sexist";"not sexist";"The comment is expressing frustration with political correctness and historical revisionism but does not specifically target women or express negative sentiment based on gender."
"[USER] What is he doing to her in that pic... LMAO";"not sexist";"not sexist";"The comment does not express negative sentiment against women based on their gender. It is a question followed by an expression of amusement, but it does"
"I think most women choose to keep their unwanted babies.";"not sexist";"not sexist";"The comment is a generalization about women's choices regarding unwanted pregnancies but does not express negative sentiment based on gender."
"No wonder, his wife wears the pants at home! And she is a liberal lobbyist for Obamacare!";"not sexist";"sexist";"The comment is sexist because it implies that a woman having authority or influence in a household is unusual or negative, and it uses this to demean"
"The dune niggers may indeed succeed, but in the Emperor's name I will put every single fucking one of them on a spike when we are done her in America. Every single fucking one. And then I'm turning the middle East into fucking glass";"not sexist";"not sexist";"The comment is extremely offensive and violent, but it does not target women specifically based on their gender."
"Lol nice. The Gateway Pundit has written an article 'denouncing' her 'disgusting tweet' but includes essentially the entire Unz article in excerpts. Lmao, that's one way to get em, Jim. [URL]";"not sexist";"not sexist";"The comment does not express negative sentiment based on gender. It discusses an article and its content without making any derogatory or prejudicial remarks about"
"I think that he has a wife. A smarmy douche nevertheless.";"not sexist";"not sexist";"The comment is negative towards a man and does not express negative sentiment based on gender."
"Stealthy little suckers...";"not sexist";"not sexist";"The comment is vague and does not refer to women or express negative sentiment based on gender."
"I feel embarrassed being a woman today in this crazy witch hunt.";"not sexist";"not sexist";"The comment is expressing a personal feeling of embarrassment and does not direct negative sentiment towards women based on their gender."
"People hate what they don't understand.";"not sexist";"not sexist";"The comment is a general statement about human behavior and does not refer to women or express negative sentiment based on gender."
"If you think about it, their harmonious pre-historic matriarchal-patriarchal peace still exists in various parts of the world. They're free to make a tribe and go live in the jungle but somehow I am sure they prefer this society";"not sexist";"not sexist";"The comment does not express negative sentiment or abuse directed towards women based on their gender. It discusses historical societal structures without derogatory or prejudicial"
"Nigga wasn't gonna share the trainers they nicked they only got one pair & she got the right one last time, so many blisters on her left foot she cant press the damn brake pedal!";"not sexist";"not sexist";"The comment is not directed towards women based on their gender and does not express negative sentiment on the basis of gender."
"During World War II, Nazi Germany planned to kill, deport, or enslave the Slavic and Jewish population of occupied Eastern Europe to create Living space for German settlers. 14 100% 88 fuck no!";"not sexist";"not sexist";"The comment is a historical statement about Nazi Germany's plans during World War II and does not refer to women or express negative sentiment based on gender"
"It's probably the only real education that a guy can get from college in this day and age";"not sexist";"not sexist";"The comment is not directed towards women or expressing negative sentiment based on gender. It is a general statement about education in college."
"Illegal teenager (dreamer?) beheads his mother in North Carolina... Some cultures aren't compatible with Civilization. [URL]";"not sexist";"sexist";"The comment is sexist because it implies a negative sentiment towards women by referencing a violent act against a woman and then making a prejudicial statement about"
"Don't she'll argue it's not Spanish for black maybelline is being straight up racist";"not sexist";"not sexist";"The comment is addressing a potential issue of racism rather than expressing negative sentiment based on gender."
"Bro, hit the gym and hit it hard";"not sexist";"not sexist";"The comment is not directed towards women or based on gender. It is a general statement about going to the gym."
"Don't be a regular dude. You lift? You confident? You go game women? Why not? Average guys get average women that result in average sex. That really what you want?";"not sexist";"not sexist";"The comment is not directed towards women or expressing negative sentiment based on gender. It is focused on advising men on self-improvement and relationships."
"every GVT employee I know believe the college education they got was a pass to a GVT job- that somehow they rate- and hold the private sector in personal contempt- like the castes of India, they are to the manor born- we simply can't afford them-";"not sexist";"not sexist";"The comment is critical of government employees and their attitudes towards private sector jobs, but it does not refer to women or express negative sentiment based on"
"Those women probably virtue signal about hating toxic masculinity";"not sexist";"sexist";"The comment is derogatory towards women by implying that their concerns about toxic masculinity are insincere and merely for show, which is a"
"You think she'll wait until they're 18 before the cuckolding?";"not sexist";"sexist";"The comment is sexist because it implies negative and derogatory behavior specifically towards a woman based on her gender."
"There are none. But energy turns out to have gender, male and female, not positive and negative (that lie is over a century old now)";"not sexist";"not sexist";"The comment is not directed towards women or expressing negative sentiment based on gender. It discusses the concept of energy having gender without any derogatory or"
"It hasn't for many because this greedy bastard had to try and get it all for himself.";"not sexist";"not sexist";"The comment is negative but does not refer to a woman or express negative sentiment based on gender."
"Damn. This response just seems of female entitlement.";"not sexist";"sexist";"The comment is sexist because it expresses a negative sentiment towards women by suggesting that their response is due to a sense of entitlement based on their gender"
"That jackass deserved it";"not sexist";"not sexist";"The comment is not sexist. It does not refer to a woman or women in general, nor does it express negative sentiment based on gender."
"nigger lovers should always be called out. When we see one my wife's glare is deadly.";"not sexist";"sexist";"The comment is sexist because it refers to a woman (the speaker's wife) and expresses negative sentiment by associating her with a derogatory"
"Because other than WHITES, CHRISTIANS are the least protected group by law and the ONLY religion not given any protected status";"not sexist";"not sexist";"The comment is not directed towards women or based on gender, so it does not meet the criteria for being sexist."
"If Jesus was born from a virgin mother that means he only has XX chromosomes. Jesus is trans.";"not sexist";"not sexist";"The comment is not directed towards women or expressing negative sentiment based on gender. It is a speculative statement about religious figures and genetics."
"Funny. If it was real, then she would want him even more because she instinctively desires a jerk more than a nice guy.";"sexist";"sexist";"The comment is sexist because it perpetuates a harmful stereotype about women's preferences and desires based on their gender."
"10/10 with interior decorating skills like yours, girls will be falling all over you. I'm falling for you a little myself";"sexist";"not sexist";"The comment is not sexist. It compliments someone's interior decorating skills and expresses personal admiration without any negative sentiment based on gender."
"You don’t have to say anything and you don’t have to block or remove her. Just move on to the *next* bitch";"sexist";"sexist";"The comment is sexist because it uses a derogatory term (""bitch"") to refer to a woman, expressing negative sentiment based on her gender"
